dataset_type,n_items,budget_tokens,strategy,p1,mean_tokens_used,mean_items_included,trials
uniform,20,1000,random,0.0495,811.4,1.08,2000
uniform,20,1000,default,0.0745,920.4,1.40,2000
uniform,20,1000,reversed,0.0595,844.7,1.14,2000
uniform,20,1000,element_count,0.0515,846.9,1.14,2000
uniform,20,1000,priority,0.0530,827.8,1.09,2000
uniform,20,2000,random,0.1465,1931.4,2.95,2000
uniform,20,2000,default,0.1465,1999.8,3.00,2000
uniform,20,2000,reversed,0.1575,1957.4,2.99,2000
uniform,20,2000,element_count,0.1575,1961.0,3.00,2000
uniform,20,2000,priority,0.1625,1941.7,2.97,2000
uniform,20,4000,random,0.2930,3915.0,5.76,2000
uniform,20,4000,default,0.3135,4000.0,5.92,2000
uniform,20,4000,reversed,0.2925,3948.5,5.80,2000
uniform,20,4000,element_count,0.2980,3951.9,5.81,2000
uniform,20,4000,priority,0.2965,3923.5,5.76,2000
uniform,20,8000,random,0.5710,7905.9,11.54,2000
uniform,20,8000,default,0.5755,8000.0,11.59,2000
uniform,20,8000,reversed,0.5830,7932.7,11.60,2000
uniform,20,8000,element_count,0.5710,7936.6,11.60,2000
uniform,20,8000,priority,0.5675,7875.8,11.51,2000
uniform,50,1000,random,0.0180,869.0,1.20,2000
uniform,50,1000,default,0.0390,979.5,1.85,2000
uniform,50,1000,reversed,0.0205,899.7,1.35,2000
uniform,50,1000,element_count,0.0285,902.4,1.37,2000
uniform,50,1000,priority,0.0250,878.7,1.25,2000
uniform,50,2000,random,0.0600,1972.6,3.00,2000
uniform,50,2000,default,0.0600,2000.0,3.00,2000
uniform,50,2000,reversed,0.0590,1980.9,3.00,2000
uniform,50,2000,element_count,0.0625,1980.5,3.00,2000
uniform,50,2000,priority,0.0610,1974.4,3.00,2000
uniform,50,4000,random,0.1185,3962.1,5.81,2000
uniform,50,4000,default,0.1220,4000.0,5.92,2000
uniform,50,4000,reversed,0.1185,3981.4,5.85,2000
uniform,50,4000,element_count,0.1235,3980.6,5.86,2000
uniform,50,4000,priority,0.1185,3972.0,5.84,2000
uniform,50,8000,random,0.2330,7967.1,11.66,2000
uniform,50,8000,default,0.2360,8000.0,11.59,2000
uniform,50,8000,reversed,0.2315,7980.5,11.65,2000
uniform,50,8000,element_count,0.2355,7981.5,11.66,2000
uniform,50,8000,priority,0.2395,7971.3,11.65,2000
uniform,100,1000,random,0.0110,730.0,1.09,2000
uniform,100,1000,default,0.0270,965.8,1.99,2000
uniform,100,1000,reversed,0.0120,729.5,1.09,2000
uniform,100,1000,element_count,0.0100,729.7,1.09,2000
uniform,100,1000,priority,0.0100,729.7,1.09,2000
