# Gold-selection events from Claude Code JSONL logs
# Anonymized: project/client names stripped to tool verb; sessions → s01..sNN;
# item IDs not emitted. Reproducible via docs/research/scripts/find_gold_selection.py
# Total events: 85  Sessions: 35

session,tool_verb,n_items,gold_position,gold_fraction,gold_source
s01,get_merge_requests,20,0,0.000,text_mention
s02,get_issues,11,0,0.000,text_mention
s02,get_issues,44,3,0.070,text_mention
s02,get_issues,10,0,0.000,text_mention
s02,get_issues,13,0,0.000,text_mention
s02,get_issues,10,1,0.111,text_mention
s03,get_issues,12,7,0.636,text_mention
s03,get_issues,12,7,0.636,text_mention
s04,get_merge_requests,5,1,0.250,text_mention
s04,get_merge_requests,8,3,0.429,text_mention
s04,get_merge_requests,7,2,0.333,text_mention
s05,get_merge_requests,5,0,0.000,text_mention
s06,get_merge_requests,18,0,0.000,text_mention
s06,get_merge_requests,20,0,0.000,text_mention
s07,get_issues,3,0,0.000,text_mention
s07,get_issues,4,0,0.000,text_mention
s07,get_issues,5,0,0.000,text_mention
s08,get_issues,4,0,0.000,text_mention
s09,get_issues,3,0,0.000,text_mention
s05,get_merge_requests,5,0,0.000,text_mention
s06,get_merge_requests,18,0,0.000,text_mention
s06,get_merge_requests,20,0,0.000,text_mention
s04,get_merge_requests,5,1,0.250,text_mention
s04,get_merge_requests,8,3,0.429,text_mention
s04,get_merge_requests,7,2,0.333,text_mention
s10,get_merge_requests,16,0,0.000,text_mention
s11,get_issues,10,0,0.000,text_mention
s11,get_issues,10,0,0.000,text_mention
s11,get_issues,10,0,0.000,text_mention
s12,get_issues,7,0,0.000,text_mention
s13,get_epics,24,9,0.391,text_mention
s14,get_merge_requests,7,2,0.333,text_mention
s15,get_issues,14,2,0.154,text_mention
s15,get_issues,13,9,0.750,text_mention
s16,get_merge_requests,3,1,0.500,text_mention
s17,get_issues,9,0,0.000,text_mention
s18,get_issues,14,12,0.923,text_mention
s19,get_issues,11,9,0.900,text_mention
s19,get_issues,7,0,0.000,text_mention
s20,get_issues,24,1,0.043,text_mention
s21,get_issues,8,0,0.000,text_mention
s21,get_issues,8,0,0.000,text_mention
s21,get_issues,8,0,0.000,text_mention
s21,get_issues,8,0,0.000,text_mention
s21,get_issues,8,0,0.000,text_mention
s21,get_issues,8,0,0.000,text_mention
s21,get_issues,8,0,0.000,text_mention
s22,get_issues,8,0,0.000,text_mention
s22,get_issues,7,0,0.000,text_mention
s23,get_issues,10,6,0.667,text_mention
s23,get_issues,10,6,0.667,text_mention
s23,get_issues,10,6,0.667,text_mention
s24,get_issues,10,2,0.222,text_mention
s24,get_issues,17,0,0.000,text_mention
s25,get_issues,17,0,0.000,text_mention
s26,get_issues,10,3,0.333,text_mention
s26,get_issues,19,3,0.167,text_mention
s27,get_issues,22,0,0.000,text_mention
s27,get_issues,21,5,0.250,text_mention
s27,get_issues,21,0,0.000,text_mention
s28,get_issues,15,0,0.000,text_mention
s29,get_issues,11,3,0.300,text_mention
s29,get_issues,11,0,0.000,text_mention
s30,get_merge_requests,15,8,0.571,text_mention
s31,get_issues,8,0,0.000,text_mention
s31,get_issues,8,0,0.000,text_mention
s31,get_issues,8,0,0.000,text_mention
s31,get_issues,8,0,0.000,text_mention
s31,get_issues,8,0,0.000,text_mention
s31,get_issues,8,0,0.000,text_mention
s31,get_issues,8,0,0.000,text_mention
s13,get_epics,24,9,0.391,text_mention
s14,get_merge_requests,7,2,0.333,text_mention
s15,get_issues,14,2,0.154,text_mention
s15,get_issues,13,9,0.750,text_mention
s16,get_merge_requests,3,1,0.500,text_mention
s10,get_merge_requests,16,0,0.000,text_mention
s11,get_issues,10,0,0.000,text_mention
s11,get_issues,10,0,0.000,text_mention
s11,get_issues,10,0,0.000,text_mention
s12,get_issues,7,0,0.000,text_mention
s32,get_issues,7,0,0.000,text_mention
s33,get_issues,7,0,0.000,text_mention
s34,get_issues,7,0,0.000,text_mention
s35,get_issues,7,0,0.000,text_mention
