model,n_items,budget_tokens,strategy,algo_p1,llm_accuracy,hallucination_rate,trials,mean_latency_ms
gemma4-26b,20,150,element_count,0.5500,0.5000,0.0000,20,2564
gemma4-26b,20,150,priority,1.0000,0.9500,0.0000,20,2542
gemma4-26b,20,300,element_count,0.7000,0.6000,0.0000,20,2594
gemma4-26b,20,300,priority,1.0000,0.5500,0.0000,20,2594
gemma4-26b,20,500,element_count,1.0000,0.6500,0.0000,20,2661
gemma4-26b,20,500,priority,1.0000,0.6500,0.0000,20,2669
gemma4-26b,50,250,element_count,0.2500,0.2500,0.0000,20,2609
gemma4-26b,50,250,priority,1.0000,0.6000,0.0000,20,2568
gemma4-26b,50,600,element_count,0.6500,0.3500,0.0000,20,2710
gemma4-26b,50,600,priority,1.0000,0.5000,0.0000,20,2699
gemma4-26b,50,1100,element_count,0.9000,0.5000,0.0000,20,2885
gemma4-26b,50,1100,priority,1.0000,0.6000,0.0000,20,2870
gpt-oss-20b,20,150,element_count,0.5500,0.5500,0.0000,20,1283
gpt-oss-20b,20,150,priority,1.0000,1.0000,0.0000,20,738
gpt-oss-20b,20,300,element_count,0.7000,0.7000,0.0000,20,1031
gpt-oss-20b,20,300,priority,1.0000,1.0000,0.0000,20,863
gpt-oss-20b,20,500,element_count,1.0000,1.0000,0.0000,20,1017
gpt-oss-20b,20,500,priority,1.0000,1.0000,0.0000,20,1021
gpt-oss-20b,50,250,element_count,0.2500,0.2500,0.0000,20,1223
gpt-oss-20b,50,250,priority,1.0000,1.0000,0.0000,20,770
gpt-oss-20b,50,600,element_count,0.6500,0.6500,0.0000,20,1473
gpt-oss-20b,50,600,priority,1.0000,0.9500,0.0000,20,1083
gpt-oss-20b,50,1100,element_count,0.9000,0.9000,0.0000,20,1445
gpt-oss-20b,50,1100,priority,1.0000,1.0000,0.0000,20,1294
