model,n_items,budget_tokens,strategy,algo_p1,llm_accuracy,hallucination_rate,trials,mean_latency_ms
gemma4-26b,20,150,element_count,0.4800,0.4800,0.0000,50,4554
gemma4-26b,20,150,priority,1.0000,1.0000,0.0000,50,2630
gemma4-26b,20,300,element_count,0.6600,0.6600,0.0000,50,10231
gemma4-26b,20,300,priority,1.0000,1.0000,0.0000,50,3565
gemma4-26b,20,500,element_count,1.0000,1.0000,0.0000,50,4871
gemma4-26b,20,500,priority,1.0000,1.0000,0.0000,50,4881
gemma4-26b,50,250,element_count,0.2000,0.2000,0.0000,50,17686
gemma4-26b,50,250,priority,1.0000,1.0000,0.0000,50,3423
gemma4-26b,50,600,element_count,0.5800,0.5800,0.0000,50,16663
gemma4-26b,50,600,priority,1.0000,1.0000,0.0000,50,5459
gemma4-26b,50,1100,element_count,0.9000,0.9000,0.0000,50,9859
gemma4-26b,50,1100,priority,1.0000,1.0000,0.0000,50,5777
gpt-oss-20b,20,150,element_count,0.4800,0.4800,0.0000,50,3025
gpt-oss-20b,20,150,priority,1.0000,1.0000,0.0000,50,2092
gpt-oss-20b,20,300,element_count,0.6600,0.6600,0.0000,50,4833
gpt-oss-20b,20,300,priority,1.0000,1.0000,0.0000,50,2196
gpt-oss-20b,20,500,element_count,1.0000,1.0000,0.0000,50,3379
gpt-oss-20b,20,500,priority,1.0000,1.0000,0.0000,50,3400
gpt-oss-20b,50,250,element_count,0.2000,0.2000,0.0000,50,9162
gpt-oss-20b,50,250,priority,1.0000,1.0000,0.0000,50,2171
gpt-oss-20b,50,600,element_count,0.5800,0.5800,0.0000,50,9610
gpt-oss-20b,50,600,priority,1.0000,1.0000,0.0000,50,3120
gpt-oss-20b,50,1100,element_count,0.9000,0.9000,0.0000,50,6815
gpt-oss-20b,50,1100,priority,1.0000,1.0000,0.0000,50,3316
