prev_tool,next_tool,lag,count
Bash,Bash,1,83732
Read,Read,1,22243
Edit,Edit,1,14182
Bash,Read,1,12094
Read,Edit,1,10591
Read,Bash,1,8615
Edit,Bash,1,8161
Grep,Grep,1,6498
Grep,Read,1,5915
Read,Grep,1,4406
Edit,Read,1,4388
Bash,Edit,1,2861
Write,Write,1,2662
Glob,Glob,1,2540
Bash,Grep,1,2408
TaskUpdate,TaskUpdate,1,2278
TaskCreate,TaskCreate,1,2210
Glob,Read,1,2007
Grep,Bash,1,1941
Edit,Grep,1,1671
Bash,TaskUpdate,1,1447
Write,Bash,1,1418
Read,Write,1,1382
Read,Glob,1,1374
Bash,Write,1,1299
TaskUpdate,Bash,1,1209
WebFetch,WebFetch,1,1122
Grep,Edit,1,1120
WebSearch,WebSearch,1,1081
TodoWrite,Bash,1,1013
Write,Edit,1,836
Bash,ToolSearch,1,828
Edit,TodoWrite,1,806
Bash,TodoWrite,1,802
Glob,Grep,1,775
Write,Read,1,753
Glob,Bash,1,723
TaskUpdate,Read,1,709
TodoWrite,Read,1,620
Bash,Glob,1,609
Grep,Glob,1,600
Edit,TaskUpdate,1,600
TaskCreate,TaskUpdate,1,460
mcp__p891dec__get_meeting_transcript,mcp__p891dec__get_meeting_transcript,1,449
Bash,Agent,1,431
Edit,Write,1,418
TaskUpdate,Edit,1,410
TodoWrite,Edit,1,378
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_click,1,340
Bash,mcp__pd16dd1__get_branch_pipeline,1,330
Agent,Bash,1,324
WebSearch,WebFetch,1,323
Agent,Agent,1,317
TaskUpdate,Write,1,285
Bash,mcp__pf3c76d__get_branch_pipeline,1,284
Read,TodoWrite,1,282
Agent,Read,1,280
Write,TodoWrite,1,277
mcp__pd16dd1__get_meeting_transcript,mcp__pd16dd1__get_meeting_transcript,1,270
ToolSearch,ToolSearch,1,267
WebFetch,WebSearch,1,262
mcp__pd16dd1__get_branch_pipeline,Bash,1,242
mcp__pf3c76d__get_branch_pipeline,Bash,1,232
Write,TaskUpdate,1,216
TodoWrite,Write,1,211
Task,Read,1,198
Bash,mcp__p7cbdd1__browser_navigate,1,196
mcp__pd16dd1__create_merge_request_comment,mcp__pd16dd1__create_merge_request_comment,1,194
Write,ExitPlanMode,1,186
TodoWrite,Glob,1,186
Edit,ExitPlanMode,1,185
Task,Task,1,185
mcp__pf3c76d__create_merge_request_comment,mcp__pf3c76d__create_merge_request_comment,1,184
TaskUpdate,Grep,1,182
Bash,TaskOutput,1,180
WebFetch,Bash,1,178
ToolSearch,Bash,1,176
Bash,mcp__pf3c76d__get_pipeline,1,173
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_wait_for,1,168
Bash,mcp__pd16dd1__get_merge_request_pipeline,1,166
Bash,WebFetch,1,161
Bash,TaskCreate,1,152
mcp__pf3c76d__get_pipeline,Bash,1,151
Read,ToolSearch,1,150
TaskOutput,Bash,1,150
mcp__p7cbdd1__browser_snapshot,mcp__p7cbdd1__browser_click,1,144
