tool_anon,calls,sessions,response_chars_median,response_chars_p90,response_chars_p99,response_chars_max
Bash,110930,1198,223,1772,9129,30030
Read,50675,1363,2473,12745,42870,97432
Edit,30781,358,162,991,3518,28509
Grep,16718,833,246,2592,10521,19813
Write,6654,260,137,181,8510,55148
Glob,6202,859,156,4077,16604,25305
TaskUpdate,5386,109,23,24,36,186
TodoWrite,3201,80,160,160,160,268
TaskCreate,2812,109,78,95,113,130
ToolSearch,2342,233,0,0,32,118
WebFetch,1825,166,1145,1836,23977,49616
WebSearch,1674,151,3100,3896,7209,9218
Agent,1376,125,6604,15787,23673,40265
mcp__p7cbdd1__browser_click,694,22,1974,10746,25371,33720
Task,690,117,9017,18066,29989,41762
mcp__pd16dd1__get_branch_pipeline,502,27,5283,10476,17853,33350
ExitPlanMode,481,108,502,8433,43582,44931
AskUserQuestion,459,122,246,712,1673,3758
mcp__p891dec__get_meeting_transcript,456,7,117,150,3585,46459
mcp__pd16dd1__create_merge_request_comment,394,33,1046,2025,2938,4470
mcp__p7cbdd1__browser_navigate,373,24,1831,3808,33490,59161
mcp__pf3c76d__get_branch_pipeline,372,20,4761,12346,33056,45461
mcp__pd16dd1__get_merge_request_discussions,356,43,12615,26670,37778,50276
mcp__pd16dd1__get_issues,344,52,816,21575,31915,32668
mcp__pd16dd1__get_meeting_transcript,322,9,5971,9643,12807,44286
Skill,299,106,36,56,66,85
TaskOutput,266,50,173,27060,32157,32183
mcp__p7cbdd1__browser_snapshot,264,22,5470,16035,60801,67413
mcp__pf3c76d__get_pipeline,261,19,4024,10370,28087,28134
mcp__pf3c76d__get_issues,251,45,1254,26054,32542,35257
mcp__pd16dd1__get_merge_request_pipeline,250,13,3895,9678,17290,36396
mcp__pf3c76d__create_merge_request_comment,246,16,937,2234,3153,4365
mcp__pf3c76d__get_job_logs,235,17,4880,15556,29051,29529
mcp__p7cbdd1__browser_wait_for,211,14,6529,16749,31989,48719
mcp__pd16dd1__update_issue,200,39,2171,4638,8221,8377
