model,strategy,budget_tok,acc_mean,acc_n,parse_err,latency_mean_ms,tokens_prompt_mean,tokens_comp_mean,acc_ci_lo,acc_ci_hi
claude-opus-4-7,fifo,1000,0.93,100,0.0,,,80.93,0.8625032899347025,0.965681175635936
claude-opus-4-7,fifo,2000,0.94,100,0.0,,,80.79,0.8752303146877748,0.9722142547333433
claude-opus-4-7,fifo,4000,0.94,100,0.0,,,82.54,0.8752303146877748,0.9722142547333433
claude-opus-4-7,fifo,8000,0.95,100,0.0,,,82.52,0.8882480347279118,0.9784566385436864
claude-opus-4-7,priority_kw_fallback,1000,0.93,100,0.0,,,83.92,0.8625032899347025,0.965681175635936
claude-opus-4-7,priority_kw_fallback,2000,0.95,100,0.0,,,81.1,0.8882480347279118,0.9784566385436864
claude-opus-4-7,priority_kw_fallback,4000,0.94,100,0.0,,,82.05,0.8752303146877748,0.9722142547333433
claude-opus-4-7,priority_kw_fallback,8000,0.93,100,0.0,,,82.15,0.8625032899347025,0.965681175635936
claude-sonnet-4-5,fifo,1000,0.91,100,0.0,,,63.61,0.8377362530335634,0.9519280048361151
claude-sonnet-4-5,fifo,2000,0.9,100,0.0,,,63.83,0.8256326956323347,0.9447714583868639
claude-sonnet-4-5,fifo,4000,0.91,100,0.0,,,64.12,0.8377362530335634,0.9519280048361151
claude-sonnet-4-5,fifo,8000,0.91,100,0.0,,,64.36,0.8377362530335634,0.9519280048361151
claude-sonnet-4-5,priority_kw_fallback,1000,0.92,100,0.0,,,63.89,0.8500173312059693,0.9589070305141891
claude-sonnet-4-5,priority_kw_fallback,2000,0.92,100,0.0,,,64.39,0.8500173312059693,0.9589070305141891
claude-sonnet-4-5,priority_kw_fallback,4000,0.94,100,0.0,,,68.03,0.8752303146877748,0.9722142547333433
claude-sonnet-4-5,priority_kw_fallback,8000,0.94,100,0.0,,,63.76,0.8752303146877748,0.9722142547333433
gemma4:26b,fifo,1000,0.86,100,0.02,7751.88,1427.4,794.57,0.7786263961619276,0.914737342455351
gemma4:26b,fifo,2000,0.85,100,0.03,7232.55,1549.29,748.29,0.7671626666784216,0.906940968088377
gemma4:26b,fifo,4000,0.87,100,0.01,6839.23,1549.42,708.4,0.7901947810519012,0.9224290614158575
gemma4:26b,fifo,8000,0.87,100,0.01,7102.2,1549.42,735.42,0.7901947810519012,0.9224290614158575
gemma4:26b,priority_kw,1000,0.83,100,0.02,6926.11,1398.88,720.17,0.7445181876635703,0.8910652394022684
gemma4:26b,priority_kw,2000,0.85,100,0.0,6462.28,1473.11,670.69,0.7671626666784216,0.906940968088377
gemma4:26b,priority_kw,4000,0.86,100,0.01,6350.35,1473.27,658.59,0.7786263961619276,0.914737342455351
gemma4:26b,priority_kw,8000,0.85,100,0.0,6367.1,1473.27,661.2,0.7671626666784216,0.906940968088377
gemma4:26b,priority_kw_fallback,1000,0.88,100,0.01,6558.31,1424.95,668.5,0.8018773199709163,0.9300066263473222
