bucket,model,strategy,budget_tok,acc_mean,n
large_21+,claude-opus-4-7,fifo,1000,0.8333333333333334,36
large_21+,claude-opus-4-7,fifo,2000,0.8611111111111112,36
large_21+,claude-opus-4-7,fifo,4000,0.9166666666666666,36
large_21+,claude-opus-4-7,fifo,8000,0.8888888888888888,36
large_21+,claude-opus-4-7,priority_kw_fallback,1000,0.8611111111111112,36
large_21+,claude-opus-4-7,priority_kw_fallback,2000,0.9166666666666666,36
large_21+,claude-opus-4-7,priority_kw_fallback,4000,0.8888888888888888,36
large_21+,claude-opus-4-7,priority_kw_fallback,8000,0.8611111111111112,36
large_21+,claude-sonnet-4-5,fifo,1000,0.8055555555555556,36
large_21+,claude-sonnet-4-5,fifo,2000,0.7777777777777778,36
large_21+,claude-sonnet-4-5,fifo,4000,0.8055555555555556,36
large_21+,claude-sonnet-4-5,fifo,8000,0.8055555555555556,36
large_21+,claude-sonnet-4-5,priority_kw_fallback,1000,0.8055555555555556,36
large_21+,claude-sonnet-4-5,priority_kw_fallback,2000,0.8055555555555556,36
large_21+,claude-sonnet-4-5,priority_kw_fallback,4000,0.8611111111111112,36
large_21+,claude-sonnet-4-5,priority_kw_fallback,8000,0.8611111111111112,36
large_21+,gemma4:26b,fifo,1000,0.7222222222222222,36
large_21+,gemma4:26b,fifo,2000,0.7222222222222222,36
large_21+,gemma4:26b,fifo,4000,0.8055555555555556,36
large_21+,gemma4:26b,fifo,8000,0.7777777777777778,36
large_21+,gemma4:26b,priority_kw,1000,0.7222222222222222,36
large_21+,gemma4:26b,priority_kw,2000,0.7777777777777778,36
large_21+,gemma4:26b,priority_kw,4000,0.8055555555555556,36
large_21+,gemma4:26b,priority_kw,8000,0.75,36
large_21+,gemma4:26b,priority_kw_fallback,1000,0.75,36
large_21+,gemma4:26b,priority_kw_fallback,2000,0.7222222222222222,36
large_21+,gemma4:26b,priority_kw_fallback,4000,0.75,36
large_21+,gemma4:26b,priority_kw_fallback,8000,0.7222222222222222,36
large_21+,glm-5.1,fifo,1000,0.8055555555555556,36
large_21+,glm-5.1,fifo,2000,0.9166666666666666,36
large_21+,glm-5.1,fifo,4000,0.8888888888888888,36
large_21+,glm-5.1,fifo,8000,0.8055555555555556,36
large_21+,glm-5.1,priority_kw,1000,0.8333333333333334,36
large_21+,glm-5.1,priority_kw,2000,0.8333333333333334,36
large_21+,glm-5.1,priority_kw,4000,0.8055555555555556,36
large_21+,glm-5.1,priority_kw,8000,0.8611111111111112,36
large_21+,gpt-oss:20b,fifo,1000,0.6944444444444444,36
large_21+,gpt-oss:20b,fifo,2000,0.6944444444444444,36
large_21+,gpt-oss:20b,fifo,4000,0.7222222222222222,36
large_21+,gpt-oss:20b,fifo,8000,0.7222222222222222,36
large_21+,gpt-oss:20b,priority_kw,1000,0.6944444444444444,36
large_21+,gpt-oss:20b,priority_kw,2000,0.6388888888888888,36
large_21+,gpt-oss:20b,priority_kw,4000,0.7222222222222222,36
large_21+,gpt-oss:20b,priority_kw,8000,0.6944444444444444,36
large_21+,gpt-oss:20b,priority_kw_fallback,1000,0.6944444444444444,36
large_21+,gpt-oss:20b,priority_kw_fallback,2000,0.6944444444444444,36
large_21+,gpt-oss:20b,priority_kw_fallback,4000,0.6666666666666666,36
large_21+,gpt-oss:20b,priority_kw_fallback,8000,0.6944444444444444,36
medium_6-20,claude-opus-4-7,fifo,1000,1.0,8
medium_6-20,claude-opus-4-7,fifo,2000,1.0,8
medium_6-20,claude-opus-4-7,fifo,4000,1.0,8
medium_6-20,claude-opus-4-7,fifo,8000,1.0,8
medium_6-20,claude-opus-4-7,priority_kw_fallback,1000,1.0,8
medium_6-20,claude-opus-4-7,priority_kw_fallback,2000,1.0,8
medium_6-20,claude-opus-4-7,priority_kw_fallback,4000,1.0,8
medium_6-20,claude-opus-4-7,priority_kw_fallback,8000,1.0,8
medium_6-20,claude-sonnet-4-5,fifo,1000,0.875,8
medium_6-20,claude-sonnet-4-5,fifo,2000,0.875,8
medium_6-20,claude-sonnet-4-5,fifo,4000,0.875,8
medium_6-20,claude-sonnet-4-5,fifo,8000,0.875,8
medium_6-20,claude-sonnet-4-5,priority_kw_fallback,1000,1.0,8
medium_6-20,claude-sonnet-4-5,priority_kw_fallback,2000,1.0,8
medium_6-20,claude-sonnet-4-5,priority_kw_fallback,4000,1.0,8
medium_6-20,claude-sonnet-4-5,priority_kw_fallback,8000,1.0,8
medium_6-20,gemma4:26b,fifo,1000,0.875,8
medium_6-20,gemma4:26b,fifo,2000,0.875,8
medium_6-20,gemma4:26b,fifo,4000,0.75,8
medium_6-20,gemma4:26b,fifo,8000,0.875,8
medium_6-20,gemma4:26b,priority_kw,1000,0.875,8
medium_6-20,gemma4:26b,priority_kw,2000,0.875,8
medium_6-20,gemma4:26b,priority_kw,4000,0.875,8
medium_6-20,gemma4:26b,priority_kw,8000,0.875,8
medium_6-20,gemma4:26b,priority_kw_fallback,1000,0.875,8
medium_6-20,gemma4:26b,priority_kw_fallback,2000,0.875,8
medium_6-20,gemma4:26b,priority_kw_fallback,4000,0.875,8
medium_6-20,gemma4:26b,priority_kw_fallback,8000,0.875,8
medium_6-20,glm-5.1,fifo,1000,0.875,8
medium_6-20,glm-5.1,fifo,2000,0.875,8
medium_6-20,glm-5.1,fifo,4000,0.875,8
medium_6-20,glm-5.1,fifo,8000,0.875,8
medium_6-20,glm-5.1,priority_kw,1000,0.875,8
medium_6-20,glm-5.1,priority_kw,2000,0.875,8
medium_6-20,glm-5.1,priority_kw,4000,0.875,8
medium_6-20,glm-5.1,priority_kw,8000,1.0,8
medium_6-20,gpt-oss:20b,fifo,1000,0.75,8
medium_6-20,gpt-oss:20b,fifo,2000,0.75,8
medium_6-20,gpt-oss:20b,fifo,4000,0.5,8
medium_6-20,gpt-oss:20b,fifo,8000,0.625,8
medium_6-20,gpt-oss:20b,priority_kw,1000,0.5,8
medium_6-20,gpt-oss:20b,priority_kw,2000,0.625,8
medium_6-20,gpt-oss:20b,priority_kw,4000,0.625,8
medium_6-20,gpt-oss:20b,priority_kw,8000,0.625,8
medium_6-20,gpt-oss:20b,priority_kw_fallback,1000,0.75,8
medium_6-20,gpt-oss:20b,priority_kw_fallback,2000,0.75,8
medium_6-20,gpt-oss:20b,priority_kw_fallback,4000,0.75,8
medium_6-20,gpt-oss:20b,priority_kw_fallback,8000,0.75,8
small_1-5,claude-opus-4-7,fifo,1000,0.9821428571428571,56
small_1-5,claude-opus-4-7,fifo,2000,0.9821428571428571,56
small_1-5,claude-opus-4-7,fifo,4000,0.9464285714285714,56
small_1-5,claude-opus-4-7,fifo,8000,0.9821428571428571,56
small_1-5,claude-opus-4-7,priority_kw_fallback,1000,0.9642857142857143,56
small_1-5,claude-opus-4-7,priority_kw_fallback,2000,0.9642857142857143,56
small_1-5,claude-opus-4-7,priority_kw_fallback,4000,0.9642857142857143,56
small_1-5,claude-opus-4-7,priority_kw_fallback,8000,0.9642857142857143,56
small_1-5,claude-sonnet-4-5,fifo,1000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,fifo,2000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,fifo,4000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,fifo,8000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,priority_kw_fallback,1000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,priority_kw_fallback,2000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,priority_kw_fallback,4000,0.9821428571428571,56
small_1-5,claude-sonnet-4-5,priority_kw_fallback,8000,0.9821428571428571,56
small_1-5,gemma4:26b,fifo,1000,0.9464285714285714,56
small_1-5,gemma4:26b,fifo,2000,0.9285714285714286,56
small_1-5,gemma4:26b,fifo,4000,0.9285714285714286,56
small_1-5,gemma4:26b,fifo,8000,0.9285714285714286,56
small_1-5,gemma4:26b,priority_kw,1000,0.8928571428571429,56
small_1-5,gemma4:26b,priority_kw,2000,0.8928571428571429,56
small_1-5,gemma4:26b,priority_kw,4000,0.8928571428571429,56
small_1-5,gemma4:26b,priority_kw,8000,0.9107142857142857,56
small_1-5,gemma4:26b,priority_kw_fallback,1000,0.9642857142857143,56
small_1-5,gemma4:26b,priority_kw_fallback,2000,0.9642857142857143,56
small_1-5,gemma4:26b,priority_kw_fallback,4000,0.9464285714285714,56
small_1-5,gemma4:26b,priority_kw_fallback,8000,0.9642857142857143,56
small_1-5,glm-5.1,fifo,1000,1.0,56
small_1-5,glm-5.1,fifo,2000,1.0,56
small_1-5,glm-5.1,fifo,4000,0.9821428571428571,56
small_1-5,glm-5.1,fifo,8000,0.9821428571428571,56
small_1-5,glm-5.1,priority_kw,1000,0.9642857142857143,56
small_1-5,glm-5.1,priority_kw,2000,0.9285714285714286,56
small_1-5,glm-5.1,priority_kw,4000,0.9642857142857143,56
