strategy,budget_tok,p1_mean,p3_mean,p5_mean,p10_mean,tokens_used_mean,n_tasks,p1_ci_lo,p1_ci_hi
fifo,1000,0.242,0.388,0.44,0.48,394.472,500,0.20651719550386513,0.28141710765808103
fifo,2000,0.242,0.388,0.44,0.48,654.914,500,0.20651719550386513,0.28141710765808103
fifo,4000,0.242,0.388,0.44,0.48,657.082,500,0.20651719550386513,0.28141710765808103
fifo,8000,0.242,0.388,0.44,0.48,657.082,500,0.20651719550386513,0.28141710765808103
priority_all,1000,0.302,0.42,0.466,0.494,396.368,500,0.26339087332996447,0.34362847560827325
priority_all,2000,0.302,0.42,0.466,0.494,655.16,500,0.26339087332996447,0.34362847560827325
priority_all,4000,0.302,0.42,0.466,0.494,657.082,500,0.26339087332996447,0.34362847560827325
priority_all,8000,0.302,0.42,0.466,0.494,657.082,500,0.26339087332996447,0.34362847560827325
priority_kw,1000,0.35,0.442,0.47,0.49,336.84,500,0.3094794545296122,0.3928079310296588
priority_kw,2000,0.35,0.442,0.47,0.49,494.334,500,0.3094794545296122,0.3928079310296588
priority_kw,4000,0.35,0.442,0.47,0.49,495.17,500,0.3094794545296122,0.3928079310296588
priority_kw,8000,0.35,0.442,0.47,0.49,495.17,500,0.3094794545296122,0.3928079310296588
priority_kw_fallback,1000,0.358,0.464,0.498,0.52,391.668,500,0.3172068787655445,0.400958512897232
priority_kw_fallback,2000,0.358,0.464,0.498,0.52,649.146,500,0.3172068787655445,0.400958512897232
priority_kw_fallback,4000,0.358,0.464,0.498,0.52,650.79,500,0.3172068787655445,0.400958512897232
priority_kw_fallback,8000,0.358,0.464,0.498,0.52,650.79,500,0.3172068787655445,0.400958512897232
random,1000,0.226,0.302,0.338,0.384,394.836,500,0.1915091878404532,0.2646691031144819
random,2000,0.226,0.302,0.338,0.384,655.044,500,0.1915091878404532,0.2646691031144819
random,4000,0.226,0.302,0.338,0.384,657.082,500,0.1915091878404532,0.2646691031144819
random,8000,0.226,0.302,0.338,0.384,657.082,500,0.1915091878404532,0.2646691031144819
reversed,1000,0.026,0.1,0.126,0.148,368.344,500,0.0152562373229252,0.04397190104437119
reversed,2000,0.026,0.1,0.126,0.148,618.994,500,0.0152562373229252,0.04397190104437119
reversed,4000,0.026,0.1,0.126,0.148,619.892,500,0.0152562373229252,0.04397190104437119
reversed,8000,0.026,0.1,0.126,0.148,619.892,500,0.0152562373229252,0.04397190104437119
