bucket,strategy,budget_tok,p1_mean,n_tasks
large_21+,fifo,1000,0.10191082802547771,157
large_21+,fifo,2000,0.10191082802547771,157
large_21+,fifo,4000,0.10191082802547771,157
large_21+,fifo,8000,0.10191082802547771,157
large_21+,priority_all,1000,0.18471337579617833,157
large_21+,priority_all,2000,0.18471337579617833,157
large_21+,priority_all,4000,0.18471337579617833,157
large_21+,priority_all,8000,0.18471337579617833,157
large_21+,priority_kw,1000,0.2611464968152866,157
large_21+,priority_kw,2000,0.2611464968152866,157
large_21+,priority_kw,4000,0.2611464968152866,157
large_21+,priority_kw,8000,0.2611464968152866,157
large_21+,priority_kw_fallback,1000,0.2611464968152866,157
large_21+,priority_kw_fallback,2000,0.2611464968152866,157
large_21+,priority_kw_fallback,4000,0.2611464968152866,157
large_21+,priority_kw_fallback,8000,0.2611464968152866,157
large_21+,random,1000,0.01910828025477707,157
large_21+,random,2000,0.01910828025477707,157
large_21+,random,4000,0.01910828025477707,157
large_21+,random,8000,0.01910828025477707,157
large_21+,reversed,1000,0.006369426751592357,157
large_21+,reversed,2000,0.006369426751592357,157
large_21+,reversed,4000,0.006369426751592357,157
large_21+,reversed,8000,0.006369426751592357,157
medium_6-20,fifo,1000,0.0,55
medium_6-20,fifo,2000,0.0,55
medium_6-20,fifo,4000,0.0,55
medium_6-20,fifo,8000,0.0,55
medium_6-20,priority_all,1000,0.18181818181818182,55
medium_6-20,priority_all,2000,0.18181818181818182,55
medium_6-20,priority_all,4000,0.18181818181818182,55
medium_6-20,priority_all,8000,0.18181818181818182,55
medium_6-20,priority_kw,1000,0.2909090909090909,55
medium_6-20,priority_kw,2000,0.2909090909090909,55
medium_6-20,priority_kw,4000,0.2909090909090909,55
medium_6-20,priority_kw,8000,0.2909090909090909,55
medium_6-20,priority_kw_fallback,1000,0.2909090909090909,55
medium_6-20,priority_kw_fallback,2000,0.2909090909090909,55
medium_6-20,priority_kw_fallback,4000,0.2909090909090909,55
medium_6-20,priority_kw_fallback,8000,0.2909090909090909,55
medium_6-20,random,1000,0.05454545454545454,55
medium_6-20,random,2000,0.05454545454545454,55
medium_6-20,random,4000,0.05454545454545454,55
medium_6-20,random,8000,0.05454545454545454,55
medium_6-20,reversed,1000,0.0,55
medium_6-20,reversed,2000,0.0,55
medium_6-20,reversed,4000,0.0,55
medium_6-20,reversed,8000,0.0,55
small_1-5,fifo,1000,0.3645833333333333,288
small_1-5,fifo,2000,0.3645833333333333,288
small_1-5,fifo,4000,0.3645833333333333,288
small_1-5,fifo,8000,0.3645833333333333,288
small_1-5,priority_all,1000,0.3888888888888889,288
small_1-5,priority_all,2000,0.3888888888888889,288
small_1-5,priority_all,4000,0.3888888888888889,288
small_1-5,priority_all,8000,0.3888888888888889,288
small_1-5,priority_kw,1000,0.4097222222222222,288
small_1-5,priority_kw,2000,0.4097222222222222,288
small_1-5,priority_kw,4000,0.4097222222222222,288
small_1-5,priority_kw,8000,0.4097222222222222,288
small_1-5,priority_kw_fallback,1000,0.4236111111111111,288
small_1-5,priority_kw_fallback,2000,0.4236111111111111,288
small_1-5,priority_kw_fallback,4000,0.4236111111111111,288
small_1-5,priority_kw_fallback,8000,0.4236111111111111,288
small_1-5,random,1000,0.3715277777777778,288
small_1-5,random,2000,0.3715277777777778,288
small_1-5,random,4000,0.3715277777777778,288
small_1-5,random,8000,0.3715277777777778,288
small_1-5,reversed,1000,0.041666666666666664,288
small_1-5,reversed,2000,0.041666666666666664,288
small_1-5,reversed,4000,0.041666666666666664,288
small_1-5,reversed,8000,0.041666666666666664,288
